#{"t_start": 1553770301.462264, "env_id": "Snake-v0"}
r,l,t
-9.2,29,2.072865
-10.4,17,2.174158
-10.3,12,2.230322
-10.2,5,2.254036
-10.0,3,2.269567
-10.9,16,2.339711
-10.2,3,2.3530.0,4-10.0,3,2.366611
-10,1,2.37-10.1,16,2.449178
-10.6,19,2.532349
-10.2,5,2.555788
-10.4,9,4.272348
-10.0,7,4.302916
-10.7,20,4.391862
-0.1,23,4.490528
-9.4,27,4.603679
-10.1,8,4.639775
-10.5,16,4.710057
-10.1,6,4.736256
-10.1,2,4.749078
-10.1,2,4.758034
-10.2,3,4.771196
-10,1,4.775986
-0.6,36,6.16835--10.4,23,6.273082-1-9.4,21,6.363775
-10.2,29,6.488494
0.2,4,6.50513
-10.8,9,6.544645
0.3,39,8.075519
-9.9,12,8.129561
-10.0,3,8.142157
-10.2,17,8.215644
-10,1,8.221175
-10.0,5,8.244455
-10.2,5,8.265531
-11.3,22,8.359122
-0.2,8,8.394489
-10.1,6,8.422193
-9.4,17,8.495625
-10.7,16,8.561155
-9.8,11,8.608751
-10.2,3,9.984035
-10.7,8,10.016289
-10.3,4,10.034031
-10.3,4,10.04997
-10.1,2,10.0584210.1,43,10.184327
-10.8,29,10.304796
-10.8,9,10.343222
-10.2,15,10.404845
-10.2,19,10.484371
-10.1,2,10.493215
-10.1,2,10.501276
-10.1,6,11.933114
-10.3,4,11.95063
-10.1,24,12.052429
-9.7,10,12.095005
-10.2,7,12.125799
-10,1,12.130804
-9.9,2,12.138955
-10.2,5,12.162024
-0.3,9,12.198908
-9.9,2,12.208329
-10.2,5,12.228252
-9.8,13,12.285865
-10.3,6,12.311328
-10.0,5,12.333868
-10.2,7,12.363977
-10.4,9,12.403759
-10.1,2,12.412718
-10.2,3,12.425233
-9.7,8,12.459973
10.3,8,13.859441
-10,1,13.864151--10.2,3,13.878744-0.2,18,13.995612
-0.5,29,14.118921
-10.2,3,14.13112
-10.0,5,14.153242
-10.3,8,14.187641
-9.9,4,14.208592
