#{"t_start": 1553778721.2222703, "env_id": "Snake-v0"}
r,l,t
-10,22,1.694184
-10,15,1.760905
-10,2,1.770056
-10,9,1.810316
-10,8,1.847614
-10,1,1.851643
-10,12,1.902103
0,19,1.991802
-10,18,2.072342
-10,8,2.106241-1-10,30,4.012672-10,14,4.036706
--10,16,4.089535
-10,1,4.09460-10-10,6,4.12257-10-10,17,4.195071
-10,15,4.26380,38,4.354589
-10,1,4.35901
-10,30,4.503467
-10,8,5.88696
-10,14,5.950116
-10,2,5.958607
-10,21,6.050744
-10,1,6.055232
-10,4,6.073165
-10,2,6.08143-10-10,25,6.189583
-10,6,6.215687
-10,4,6.232658
-10,9,6.270762
-10,12,6.324678
0,26,7.795898
-10,8,7.83256
0,20,7.920347
-10,3,7.93373
-10,5,7.9-10,40,7.971963
10,47,8.171306
-10,6,8.196645
-10,20,8.284559
-10,13,9.71977
-10,1,9.724211
-10,14,9.79109
-10,21,9.882512
-10,3,9.896591
-10,5,9.919688
-10,7,9.950593
-10,1,9.956286
-10,2,9.966448
-10,5,9.987559
-10,6,10.015085
-10,2,10.10,34,10.161843
-10,5,10.183777
0,10,10.22899
-10,1,10.233769
-10,14,10.296683
-10,4,11.703902
-10,2,11.7-10,25,11.764339
-10,27,11.876842
-10,39,12.042249
-10,2,12.05233
-10,7,12.081485
-10,1,12.086469
-10,3,12.099152
-10,14,12.161796
-10,4,12.178628
-10,3,12.19252
-1-10,24,13.691607
-10,9,13.728595
-10,2,13.737928
0,13,13.796014
-10,25,13.900586
-10,4,13.917164
-10,8,13.951948
-10,8,13.985254
-10,4,14.00-10,16-10,2,14.012-10,7,14.027709
-10,7,14.058867
-10,7,14.088103
-10,2,14.096556
-10,7,14.125747
-10,27,15.612315
-10,52,15.85276
-10,40,16.023588
-10,3,16.03581
-10,20,16.123438
-10,13,17.535321
-10,4,17.554868
-10,12,17.603353
-10,7,17.632979
-10,16,17.700779
-10,10,17.743347
-10,2,17.751227
-10,4,17.76767
10,16,17.835995
-10,34,17.984349
-10,6,18.009874
-10,3,18.023403
0,6,19.404477
-10,8,19.444249
-10,3,19.45838
-10,1,19.463112
-10,2,19.473072
-10,1,19.478421
-10,20,19.568684
0,8,19.603189
-10,1,19.607402
-10,16,19.678379
-10,4,19.697573
-10,3,19.711881
-10,2,19.720364
-10,6,19.745512
-10,3,19.759064
-10,60,21.618522
-10,14,21.682328
-10,12,21.73356
-10,12,21.783858
-10,52,22.009319
-10,40,23.592392
0,32,23.737561
-10,17,23.812048
-10,4,23.829106
-10,5,23.856059
-10,11,23.901965
-10,5,23.92312
-10,3,23.936825
0,9,23.978609
-10,4,23.995776
0,19,24.090719
-10,12,25.512196
-10,13,25.570242
-10,4,25.587651
-10,18,25.664209
-10,8,25.696939
-10,8,25.729597
-10,12,25.782805
-10,8,25.817216
-10,1,25.822532
-10,4,25.840768
-10,1,25.845243
-10,5,25.867229
-10,5,25.88897
-10,1,25.894728
0,15,25.957283
-10,16,26.026489
-10,3,27.513165
-10,33,27.659534
0,9,27.698238
-10,13,27.753809
-10,12,27.804192
-10,16,27.8715
-10,5,27.893412
-10,6,27.921346
-10,2,27.929973
-10,11,27.97651
-10,2,27.985797
-10,3,27.998258
-10,17,29.438242
-10,13,29.517619
0,7,29.546194
0,6,29.57232
10,24,29.677785
0,26,29.832293
0,44,30.057614
-10,28,31.617553
-10,18,31.701652
-10,9,31.742449
-10,15,31.806705
-10,6,31.833916
-10,1,31.838948
-10,9,31.876181
-10,1,31.880513
-10,3,31.894942
-10,1,31.899346
-10,2,31.908293
-10,1,31.913326
0,20,32.004215
-10,7,32.034384
-10,12,33.712008
-10,24,33.841935
-10,1,33.847826
-10,4,33.87156
-10,1,33.878345
-10,3,33.894234
-10,12,33.955232
10,16,34.040251
-10,16,34.126827
0,15,34.210341
-10,3,34.224932
-10,2,34.234312
-10,9,34.279751
-10,9,34.321543
-10,7,34.356684
-10,8,36.352493
-10,29,36.545626
-10,17,36.644895
-10,24,36.77766
-10,1,36.782511
-10,3,36.799005
-10,15,36.871739
-10,34,37.050996
-10,5,38.819054
-10,8,38.858199
-10,1,38.864152
-10,12,38.924719
-10,8,38.96662
-10,4,38.986565
0,27,39.119205
-10,2,39.131687
-10,1,39.137242
-10,17,39.228687
-10,2,39.24167
-10,33,39.454134
-10,11,41.258793
-10,17,41.340449
-10,2,41.350408
-10,12,41.408725
-10,3,41.423808
-10,43,41.625875
-10,10,41.673176
-10,2,41.68412
-10,8,41.723534
-10,2,41.733515
-10,11,41.788331
-10,3,41.802151
-10,8,41.84155
-10,3,41.855442
0,15,43.42196
-10,30,43.550873
-10,1,43.555419
-10,19,43.638342
-10,6,43.664161
-10,6,43.689732
-10,28,43.813547
-10,8,43.849304
-10,85,45.571093
0,5,45.592405
-10,15,45.657622
-10,11,45.704463
-10,13,45.758681
-10,12,45.808662
-10,5,45.829973
-10,11,47.2541
0,44,47.450423
-10,38,47.619723
-10,1,47.62404
-10,7,47.654182
-10,10,47.701833
0,10,47.744043
-10,23,49.190436
-10,7,49.219458
-10,2,49.227381
-10,17,49.300122
-10,16,49.367679
-10,16,49.435174
-10,5,49.456692
0,48,49.657773
